Ri_MOBIL;Ri_TEXACO ;Ri_IBM ;Ri_DATGEN ;Ri_TANDY;Ri_GERBER ;Ri_GENMIL ;RF_FREE ;RM_MARKET 
-0.046;-0.054;-0.029;-0.084;-0.075;-0.048;-0.099;0.00487;-0.045
-0.017;-0.01;-0.043;-0.097;-0.004;0.16;0.018;0.00494;0.01
0.049;0.015;-0.063;0.063;0.124;-0.036;-0.023;0.00526;0.05
0.077;0;0.13;0.179;0.055;0.004;0.046;0.00491;0.063
-0.011;-0.029;-0.018;0.052;0.176;0.046;0.063;0.00513;0.067
-0.043;-0.025;-0.004;-0.023;-0.014;0.028;0.008;0.00527;0.007
0.028;0.042;0.092;0.143;0.194;-0.012;0.075;0.00528;0.071
0.056;0;0.049;0.026;0.222;-0.079;-0.051;0.00607;0.079
0.064;0.01;-0.051;-0.031;-0.1;0.104;-0.012;0.00645;0.002
-0.069;-0.066;-0.046;-0.085;-0.206;-0.138;-0.032;0.00685;-0.189
0.037;0.055;0.031;0.044;0.086;0.078;0.009;0.00719;0.084
0.041;0;0.108;0.034;0.085;-0.086;0.022;0.0069;0.015
0.061;0.037;0.034;-0.008;-0.046;0.042;-0.032;0.00761;0.058
-0.002;-0.01;-0.017;-0.015;-0.135;-0.023;-0.079;0.00761;0.011
0.029;0.068;0.052;0.171;0.122;0.065;-0.043;0.00769;0.123
0.079;0.059;-0.004;0.009;-0.094;-0.088;0.022;0.00764;0.026
-0.086;-0.04;-0.022;-0.045;-0.148;-0.023;0.035;0.00772;0.014
0.088;0.083;-0.035;0.019;0.096;0.095;-0.043;0.00715;0.075
0.018;0.032;-0.049;-0.059;0.006;-0.096;-0.013;0.00728;-0.013
0.111;0.041;0.016;0.078;0.25;0.148;0.138;0.00789;0.095
0.18;0.03;-0.032;-0.031;-0.005;-0.009;-0.032;0.00802;0.039
-0.031;-0.053;-0.079;-0.246;-0.037;-0.09;-0.067;0.00913;-0.097
0.051;0.067;0.06;0.062;0.17;-0.014;0.005;0.00819;0.116
0.063;-0.029;-0.013;0.021;0.037;-0.036;0.005;0.00747;0.086
0.075;0.229;0.066;0.157;0.032;0.048;0.003;0.00883;0.124
0.366;0.161;-0.062;0.043;0.143;-0.004;-0.096;0.01073;0.112
-0.176;-0.179;-0.122;-0.094;-0.105;-0.237;0.011;0.01181;-0.243
0.119;0.082;-0.016;0.027;-0.038;0.027;0.059;0.00753;0.08
0.003;0.007;0.025;-0.043;0.256;0.233;0.18;0.0063;0.062
-0.024;0.032;0.061;0.108;0.041;0.011;-0.013;0.00503;0.086
0.054;0.003;0.111;0.212;0.446;0.005;0.012;0.00602;0.065
-0.059;0.031;0.017;0.058;0.167;-0.008;0.018;0.00731;0.025
0.007;-0.037;-0.021;-0.136;0.157;0.066;-0.013;0.0086;0.015
0.059;0.087;0.039;0.007;-0.015;0.026;-0.073;0.00895;0.006
0.193;0.399;0.035;0;0.212;0.023;-0.03;0.01137;0.092
-0.081;-0.109;-0.004;-0.098;0.022;0.07;0.102;0.00977;-0.056
-0.082;-0.145;-0.052;-0.231;-0.139;0.056;0.079;0.01092;-0.014
