Date;Microsoft;SP;IPC;industrial.production;USTB3M;USTB10Y; money.supply;consumer.credit;baa.aaa.spread
01/03/1986;27,5;238,9;108,8;54,8525;7,01;8,01;624,3;613376,62;1,5
01/04/1986;32,25;235,52;108,6;54,8901;6,5;7,39;647;619657,73;1,4
01/05/1986;35;247,35;108,9;54,9861;6,29;7,44;645,7;625819,96;1,2
01/06/1986;30,75;250,84;109,5;54,8093;6,62;8,23;662,8;630055,83;1,21
01/07/1986;28,5;236,12;109,5;55,1631;6,14;7,35;673,4;635150,95;1,28
01/08/1986;28,5;252,93;109,7;55,0442;6;7,41;678,4;638904,39;1,46
01/09/1986;28,25;231,32;110,2;55,1398;5,35;7,18;684,5;646023,16;1,31
01/10/1986;38,75;243,98;110,3;55,3932;5,33;7,43;692,2;653787,29;1,38
01/11/1986;49,75;249,22;110,4;55,6496;5,41;7,31;708,8;653767,3;1,39
01/12/1986;48,25;242,17;110,5;56,1365;5,57;7,09;739,8;654750,24;1,48
01/01/1987;73,12;274,08;111,2;55,9547;5,8;7,2;737,1;653267,48;1,36
01/02/1987;76,75;284,2;111,6;56,678;5,78;7,22;717,1;652532,3;1,27
01/03/1987;96,75;291,7;112,1;56,7669;5,71;7,18;723,1;651197,67;1,25
01/04/1987;104;288,36;112,7;57,1074;5,74;7,56;752;656401,42;1,19
01/05/1987;115,25;290,1;113,1;57,498;5,87;8,32;739,3;658470,03;1,18
01/06/1987;102;304;113,5;57,8001;5,89;8,58;743,8;662897,5;1,2
01/07/1987;94;318,66;113,8;58,1706;5,86;8,35;746,2;667659,79;1,19
01/08/1987;118,75;329,8;114,4;58,5913;6,06;8,75;744,2;672225,14;1,13
01/09/1987;66,25;321,83;115;58,747;6,41;9,18;744,5;676211,16;1,13
01/10/1987;49,75;251,79;115,3;59,638;6,86;9,61;753,2;681184,46;1,1
01/11/1987;44,75;230,3;115,4;59,9544;5,81;8,84;755,5;684710,04;1,22
01/12/1987;54,25;247,08;115,4;60,2339;5,59;8,98;765,4;686318,77;1,18
01/01/1988;55,75;257,07;115,7;60,26;5,93;8,85;764,2;692270,95;1,19
01/02/1988;59,38;267,82;116;60,5044;5,86;8,2;744,5;696387,29;1,22
01/03/1988;56,5;258,89;116,5;60,6476;5,8;8,17;751,6;700701,2;1,18
01/04/1988;54,5;261,33;117,1;60,9699;5,91;8,57;777,9;705868,05;1,23
01/05/1988;58;262,16;117,5;60,9173;6,35;8,93;763,4;710045,85;1,14
01/06/1988;67;273,5;118;61,0666;6,66;9,07;778,5;713189,19;1,14
01/07/1988;59,5;272,02;118,5;61,1463;6,78;8,86;785,5;716113,02;1,15
01/08/1988;50;261,52;119;61,4037;7,12;9,04;781;721535,58;1,1
01/09/1988;52,25;271,91;119,8;61,193;7,52;9,21;779,7;722947,69;1,08
01/10/1988;49;278,97;120,2;61,5135;7,5;8,83;780,8;726105,33;0,9
01/11/1988;47,25;273,7;120,3;61,6195;7,63;8,72;786,9;729660,07;1,03
01/12/1988;53,25;277,72;120,5;61,8878;8,22;9,11;803,1;731917,76;1,08
01/01/1989;59,63;297,47;121,1;62,0475;8,53;9,24;792,1;749023,08;1,03
01/02/1989;59,5;288,86;121,6;61,7888;8,68;9;771,6;752893;0,97
01/03/1989;49,88;294,87;122,3;61,9629;8,98;9,33;774,6;760018,34;0,87
01/04/1989;55,88;309,64;123,1;61,9874;9,15;9,2;790,2;764712,45;0,82
01/05/1989;60,5;320,52;123,8;61,5734;8,85;9,07;766,1;769275,7;0,89
01/06/1989;53;317,98;124,1;61,6115;8,84;8,57;772,8;773227,11;0,93
01/07/1989;54,75;346,08;124,4;61,0181;8,07;8,08;780,7;776260,08;0,94
01/08/1989;58,75;351,45;124,6;61,5467;7,97;7,82;776,5;778876,5;0,92
01/09/1989;68,5;349,15;125;61,3895;8,17;8,25;777,7;781822,09;0,9
01/10/1989;81,75;340,36;125,6;61,3233;8,03;8,18;783,2;785545,65;0,89
01/11/1989;87;345,99;125,9;61,5088;8,04;7,92;790,2;790297,25;0,92
01/12/1989;87;353,4;126,1;61,8707;7,88;7,85;810,6;794612,18;0,96
01/01/1990;92,5;329,08;127,4;61,4958;7,84;7,98;800,7;797714,86;0,95
01/02/1990;98,75;331,89;128;62,0704;8,02;8,47;786,7;798773,19;0,92
01/03/1990;110,75;339,94;128,7;62,404;8,02;8,5;794,5;798748,09;0,84
01/04/1990;58;330,8;128,9;62,322;8,04;8,59;816,2;798747,01;0,84
01/05/1990;73;361,23;129,2;62,4423;8,12;9,02;795,5;799751,03;0,94
01/06/1990;76;358,02;129,9;62,6427;8;8,58;809;802892,74;0,96
01/07/1990;66,5;356,15;130,4;62,5518;7,97;8,44;811;806887,5;0,96
