ID;CREDIT;GENDER;EDUCATION;MARRIAGE;AGE;PAY_1;PAY_2;DEFAULT
1;20000;0;2;1;24;0;0;1
2;120000;0;2;2;26;1000;1000;1
3;90000;0;2;2;34;1000;1000;0
4;50000;0;2;1;37;1200;1100;0
5;50000;1;2;1;57;10000;9000;0
6;50000;1;1;2;37;657;1000;0
7;500000;1;1;2;29;38000;20239;0
8;100000;0;2;2;23;0;581;0
9;140000;0;3;1;28;432;1000;0
10;20000;1;3;2;35;0;13007;0
11;200000;0;3;2;34;50;300;0
12;260000;0;1;2;51;8583;22301;0
13;630000;0;2;2;41;6500;6500;0
14;70000;1;2;2;30;3000;3000;1
15;250000;1;1;2;29;3000;3000;0
16;50000;0;3;0;23;1100;1200;0
17;20000;1;1;2;24;1500;0;1
18;320000;1;1;1;49;75940;20000;0
19;360000;0;1;1;49;0;0;0
20;180000;0;1;2;29;0;0;0
21;130000;0;3;2;39;1000;2000;0
22;120000;0;2;1;39;0;632;1
23;70000;0;2;2;26;0;3601;1
24;450000;0;1;1;40;560;0;1
25;90000;1;1;2;23;5398;1200;0
26;50000;1;3;2;23;1001;1432;0
27;60000;1;1;2;27;0;500;1
28;50000;0;3;2;30;1000;1500;0
29;50000;0;3;1;47;2044;30430;0
30;50000;1;1;2;26;1000;1000;0
31;230000;0;1;2;27;15339;14307;0
32;50000;1;2;2;33;1000;1000;1
33;100000;1;1;2;32;3302;3204;0
34;500000;0;2;1;54;7521;71439;0
35;500000;1;1;1;58;3180;0;0
36;160000;1;1;2;30;396;565;0
37;280000;1;2;1;40;6300;6400;0
38;60000;0;2;2;22;2043;0;0
39;50000;1;1;2;25;0;0;1
40;280000;1;1;2;31;9976;8000;0
41;360000;1;1;2;33;6000;188840;0
42;70000;0;1;2;25;4042;2500;0
43;10000;1;2;2;22;1000;300;0
44;140000;0;2;1;37;3000;4000;0
45;40000;0;1;2;30;0;2000;0
46;210000;1;1;2;29;0;0;1
47;20000;0;1;2;22;16741;334;1
48;150000;0;0;2;46;0;0;1
49;380000;1;2;2;32;24677;11851;0
50;20000;1;1;2;24;704;928;0
51;70000;1;3;2;42;2000;0;1
52;100000;0;3;0;43;1500;2000;0
53;310000;0;2;1;49;11185;3544;0
54;180000;0;1;2;25;1762;1762;0
55;150000;0;1;2;29;1049;1500;0
56;500000;0;1;1;45;0;151;0
57;180000;0;3;1;34;7500;679;0
58;180000;0;2;1;34;5253;4814;0
59;200000;0;1;2;34;700;0;0
60;400000;0;2;1;29;30000;12000;0
61;500000;0;3;1;28;1000;1000;1
62;70000;1;2;1;39;1000;2000;0
63;50000;1;1;2;29;0;2225;1
64;50000;0;2;1;46;0;0;1
65;130000;0;2;1;51;0;2353;0
66;200000;1;1;1;57;8222;300;1
67;10000;1;2;1;56;150;200;1
68;210000;0;1;2;30;2280;300;0
69;130000;0;3;2;29;20161;0;0
70;20000;1;0;2;22;1000;500;0
71;80000;1;1;2;31;390;390;0
72;320000;1;2;2;29;0;4800;1
73;200000;0;2;1;32;9102;17;0
74;290000;0;1;2;37;0;2359;0
75;340000;1;1;2;32;4314;80552;0
76;20000;1;2;2;24;610;630;0
77;50000;1;3;2;25;320;500;0
78;300000;0;1;1;45;291;291;0
79;30000;0;2;2;22;560;3000;1
80;240000;0;2;2;44;0;0;1
81;470000;0;3;0;33;3000;960;0
82;360000;0;1;2;26;3100;146900;0
83;60000;1;3;2;30;648;768;1
84;400000;0;2;1;44;3050;3000;0
85;50000;0;3;2;49;700;699;0
86;160000;1;2;2;33;80000;4500;0
87;360000;0;1;1;45;0;390;1
88;160000;0;2;2;32;2000;0;0
89;130000;0;1;1;35;1330;7095;0
90;20000;1;3;2;44;1000;2000;0
91;200000;1;1;1;53;5500;5500;1
92;280000;0;1;2;39;0;0;0
93;100000;0;1;2;27;0;0;0
94;160000;0;2;1;37;840;0;0
95;60000;0;2;2;23;682;690;0
96;90000;1;2;2;35;1179;1112;0
97;360000;1;1;1;43;12902;27000;0
98;150000;1;1;2;27;3266;4040;0
99;50000;0;3;1;22;379;281;0
100;20000;1;2;1;38;626;1750;1
101;140000;1;1;2;32;415;100;0
102;380000;0;1;2;30;1171;1197;0
103;480000;1;1;1;63;17000;0;0
104;50000;0;3;2;22;1002;840;1
105;60000;0;2;2;26;2511;6;0
106;70000;0;2;2;24;0;0;0
107;80000;0;2;1;36;3319;1150;0
108;350000;1;1;2;52;867;1150;0
109;130000;1;2;2;38;133657;4566;0
110;360000;1;2;1;35;0;0;0
111;330000;0;1;1;31;3593;4100;0
112;50000;1;3;1;47;1000;1000;0
113;280000;1;2;1;41;14254;14850;0
114;100000;0;1;2;24;3076;5080;0
115;50000;1;2;2;41;700;718;0
116;30000;1;1;2;24;3000;0;1
117;240000;1;1;2;28;5676;476;0
118;80000;1;2;2;26;1000;1000;1
119;400000;1;2;1;34;7839;14837;0
120;240000;0;2;2;38;3000;1307;0
121;50000;1;3;2;37;1000;1400;1
122;450000;1;1;1;40;0;0;1
123;110000;0;1;1;48;0;0;0
124;310000;0;2;1;35;8407;8599;1
125;20000;1;1;2;27;600;861;0
126;20000;1;2;2;23;0;0;0
127;200000;1;3;2;52;3602;3848;0
128;180000;1;1;1;36;2067;2142;1
129;50000;1;2;1;51;1300;1500;1
130;60000;1;3;1;55;1200;1200;0
131;30000;0;1;2;23;27;13771;0
132;240000;1;1;2;41;0;360;0
133;420000;1;2;1;34;7603;7830;0
134;330000;1;3;1;46;8025;8175;0
135;30000;0;2;2;22;0;500;0
136;240000;1;2;1;34;0;1000;0
137;150000;1;1;2;27;3000;3000;0
138;210000;0;2;1;33;1000;500;0
139;50000;0;3;1;51;0;0;1
140;50000;1;1;2;24;1000;900;0
141;240000;1;1;2;47;0;0;1
142;180000;1;2;2;28;332;500;0
143;50000;1;2;2;23;400;700;0
144;170000;1;2;2;29;10000;9983;0
145;20000;1;1;2;29;2340;4702;0
146;50000;1;1;2;28;2000;1583;0
147;170000;0;2;2;27;351;358;1
